itinerary_id,itinerary_name,kind,park_scope,area,tpw_1_name,tpw_1_id,tpw_1_type,tpw_1_park,tpw_1_latitude,tpw_1_longitude,tpw_1_score,tpw_2_name,tpw_2_id,tpw_2_type,tpw_2_park,tpw_2_latitude,tpw_2_longitude,tpw_2_score,tpw_3_name,tpw_3_id,tpw_3_type,tpw_3_park,tpw_3_latitude,tpw_3_longitude,tpw_3_score,queue_1_name,queue_1_id,queue_1_type,queue_1_park,queue_1_latitude,queue_1_longitude,queue_1_score,queue_2_name,queue_2_id,queue_2_type,queue_2_park,queue_2_latitude,queue_2_longitude,queue_2_score,queue_3_name,queue_3_id,queue_3_type,queue_3_park,queue_3_latitude,queue_3_longitude,queue_3_score,selected_tpw_candidate,selected_queue_candidate,match_status,review_note,catalog_id,manual_latitude,manual_longitude,coordinate_parse_status,coordinate_status,coordinate_warning,coordinate_normalization_note,recommended_next_status,review_note_exported
monsters,Monsters Unchained,planned,Epic Universe,Dark Universe,,,,,,,,,,,,,,,,,,,,,,Monsters Unchained: The Frankenstein Experiment,14694,ATTRACTION,Epic Universe,,,1,Monsters Unchained: The Frankenstein Experiment Single Rider,16644,ATTRACTION,Epic Universe,,,1,Bowser Jr. Challenge,14682,ATTRACTION,Epic Universe,,,0.5314,,1,APPROVED,,monsters,,,NO_COORDINATE,MISSING,,,APPROVED,
mythos,Mythos lunch,meal,Islands of Adventure,The Lost Continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4725437, -81.4714508",mythos,28.472672,-81.4714508,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.4725437, -81.4714508"
navi,Na’vi River Journey,planned,Animal Kingdom,Pandora · Early Entry,,,,,,,,,,,,,,,,,,,,,,Na'vi River Journey,4438,ATTRACTION,Animal Kingdom,,,1,Kali River Rapids,112,ATTRACTION,Animal Kingdom,,,0.5994,Meet Moana at Character Landing,12451,ATTRACTION,Animal Kingdom,,,0.414,,1,APPROVED,,navi,,,NO_COORDINATE,MISSING,,,APPROVED,
nintendo,Super Nintendo World priorities,planned,Epic Universe,Super Nintendo World,,,,,,,,,,,,,,,,,,,,,,Curse of the Werewolf Single Rider,14698,ATTRACTION,Epic Universe,,,0.4144,Mario Kart™: Bowser's Challenge Single Rider,14684,ATTRACTION,Epic Universe,,,0.388,Monsters Unchained: The Frankenstein Experiment Single Rider,16644,ATTRACTION,Epic Universe,,,0.3765,,,UNRESOLVED,"28.43° N, 81.45° W",nintendo,28.439208,-81.448797,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.43° N, 81.45° W"
ollivanders,Ollivanders and wand purchase,show,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4745° N, 81.4678° W",ollivanders,28.479679,-81.469902,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.4745° N, 81.4678° W"
pirates,Pirates of the Caribbean,lightning,Magic Kingdom,Adventureland,,,,,,,,,,,,,,,,,,,,,,Pirates of the Caribbean,137,ATTRACTION,Magic Kingdom,,,1,The Hall of Presidents,356,ATTRACTION,Magic Kingdom,,,0.5579,The Magic Carpets of Aladdin,141,ATTRACTION,Magic Kingdom,,,0.5338,,1,APPROVED,,pirates,,,NO_COORDINATE,MISSING,,,APPROVED,
rise,Rise of the Resistance,lightning,Hollywood Studios,Galaxy’s Edge,,,,,,,,,,,,,,,,,,,,,,Star Wars: Rise of the Resistance,6369,ATTRACTION,Hollywood Studios,,,1,Star Wars: Rise of the Resistance Single Rider,14531,ATTRACTION,Hollywood Studios,,,1,Walt Disney Presents,5145,ATTRACTION,Hollywood Studios,,,0.4537,,1,APPROVED,,rise,,,NO_COORDINATE,MISSING,,,APPROVED,
runaway,Runaway Railway decision point,planned,Hollywood Studios,Hollywood Boulevard · optional,,,,,,,,,,,,,,,,,,,,,,Mickey & Minnie's Runaway Railway,6361,ATTRACTION,Hollywood Studios,,,0.58,Walt Disney Presents,5145,ATTRACTION,Hollywood Studios,,,0.414,Meet Ariel at Walt Disney Presents,12430,ATTRACTION,Hollywood Studios,,,0.4034,,1,APPROVED,,runaway,,,NO_COORDINATE,MISSING,,,APPROVED,
safari,Kilimanjaro Safaris,planned,Animal Kingdom,Africa,,,,,,,,,,,,,,,,,,,,,,Kilimanjaro Safaris,113,ATTRACTION,Animal Kingdom,,,1,Kali River Rapids,112,ATTRACTION,Animal Kingdom,,,0.4328,Animal Care at Conservation Station,13806,ATTRACTION,Animal Kingdom,,,0.4207,,1,APPROVED,,safari,,,NO_COORDINATE,MISSING,,,APPROVED,
seven,Seven Dwarfs Mine Train,planned,Magic Kingdom,Fantasyland,,,,,,,,,,,,,,,,,,,,,,Seven Dwarfs Mine Train,129,ATTRACTION,Magic Kingdom,,,1,Space Mountain,138,ATTRACTION,Magic Kingdom,,,0.4962,Swiss Family Treehouse,355,ATTRACTION,Magic Kingdom,,,0.44,,1,APPROVED,,seven,,,NO_COORDINATE,MISSING,,,APPROVED,
shutter,Shutterbutton’s Photography Studio,extra,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.474386, -81.468193",shutter,28.479632,-81.46991,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.474386, -81.468193"
slinky,Slinky Dog Dash,lightning,Hollywood Studios,Toy Story Land,,,,,,,,,,,,,,,,,,,,,,Slinky Dog Dash,5476,ATTRACTION,Hollywood Studios,,,1,Alien Swirling Saucers,5477,ATTRACTION,Hollywood Studios,,,0.4611,Meet Disney Stars at Red Carpet Dreams,6704,ATTRACTION,Hollywood Studios,,,0.4008,,1,APPROVED,,slinky,,,NO_COORDINATE,MISSING,,,APPROVED,
space,Space Mountain,planned,Magic Kingdom,Tomorrowland,,,,,,,,,,,,,,,,,,,,,,Space Mountain,138,ATTRACTION,Magic Kingdom,,,1,Big Thunder Mountain Railroad,130,ATTRACTION,Magic Kingdom,,,0.5523,Haunted Mansion,140,ATTRACTION,Magic Kingdom,,,0.4938,,1,APPROVED,,space,,,NO_COORDINATE,MISSING,,,APPROVED,
star,Star Tours,lightning,Hollywood Studios,Echo Lake,,,,,,,,,,,,,,,,,,,,,,Star Tours – The Adventures Continue,120,ATTRACTION,Hollywood Studios,,,1,Star Wars: Rise of the Resistance,6369,ATTRACTION,Hollywood Studios,,,0.4778,Star Wars: Rise of the Resistance Single Rider,14531,ATTRACTION,Hollywood Studios,,,0.4022,,1,APPROVED,,star,,,NO_COORDINATE,MISSING,,,APPROVED,
tiana,Tiana’s Bayou Adventure,lightning,Magic Kingdom,Frontierland,,,,,,,,,,,,,,,,,,,,,,Tiana's Bayou Adventure,13630,ATTRACTION,Magic Kingdom,,,1,The Many Adventures of Winnie the Pooh,142,ATTRACTION,Magic Kingdom,,,0.4989,A Pirate's Adventure ~ Treasures of the Seven Seas,1184,ATTRACTION,Magic Kingdom,,,0.476,,1,APPROVED,,tiana,,,NO_COORDINATE,MISSING,,,APPROVED,
tiffins,Tiffins lunch,meal,Animal Kingdom,Discovery Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.3556° N, 81.5901° W",tiffins,28.356786,-81.591462,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.3556° N, 81.5901° W"
typhoon,Typhoon Lagoon priorities,planned,Typhoon Lagoon,Water park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE,,typhoon,,,NO_COORDINATE,MISSING,,,NOT_APPLICABLE,
water,Water rides or remaining priorities,planned,Islands of Adventure,Toon Lagoon / Jurassic Park,,,,,,,,,,,,,,,,,,,,,,Harry Potter and the Forbidden Journey™,5992,ATTRACTION,Islands of Adventure,,,0.4363,The Amazing Adventures of Spider-Man®,5985,ATTRACTION,Islands of Adventure,,,0.4128,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.3937,,,NOT_APPLICABLE,,water,,,NO_COORDINATE,MISSING,,,NOT_APPLICABLE,
zootopia,Zootopia: Better Zoogether!,show,Animal Kingdom,Discovery Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,,zootopia,28.357546,-81.589995,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,
